Paper,Author,Title,Impact_variables,Year,Field,Empirical,Type,Method,Teaching_approach,Context
103,"Rowley, Ch., Cooper, H.",Cross-curricular Approaches to Teaching and Learning," degree of inter-/transdisciplinarity, degree of student participation / activeness, degree of student (self-)reflection",2020,University education in general,Theoretical,Overview of multiple approaches,NA,Multiple,School
104,"Pauw, J.B.-D.; Gericke, N.; Olsson, D.; Berglund, T.",The Effectiveness of Education for Sustainable Development," degree of inter-/transdisciplinarity, degree of student participation / activeness, degree of student collaboration /  group work, degree of student (self-)reflection",2003,Sustainability,Empirical,Effectiveness testing multiple courses,Quantitative,Multiple,School
105,"Mittelstaedt, R., Sanker, L., VanderVeer, R.",Impact of a week-long experiential education program on environmental attitude and awareness, degree of nature-related experiences,2009,Sustainability,Empirical,Effectiveness testing single course,"Qualitative, Quantitative",Multiple,School
106,"Valderrama-Hernández, R., Sánchez-Carracedo, F., Alcántara Rubio, L., & Limón-Domínguez, D.",Methodology to Analyze the Effectiveness of ESD in a Higher Degree in Education. A Case Study, degree of nature-related experiences,2018,Environmental education,"Methodological, Empirical",Effectiveness testing single school,Quantitative,"Experiential education, Outdoor education",HEI
107,"Zelenika, I., Moreau, T., Lane, O., Zhao, J.","Sustainability education in a botanical garden promotes environmental knowledge, attitudes and willingness to act", degree of nature-related experiences,2013,Sustainability,Empirical,Effectiveness testing single course,Quantitative,Outdoor education,Training
108,"Ajaps, S., McLellan, R.",“We don’t know enough”: Environmental education and pro-environmental behaviour perceptions," degree of nature-related experiences, degree of experience of real-life situations",2010,Environmental education,Empirical,Effectiveness testing multiple schools,"Qualitative, Quantitative",Multiple,HEI
109,"Ballantyne, R., Packer, J.",Learning for sustainability: The role and impact of Outdoor and Environmental Education Centres," degree of nature-related experiences, degree of integration between theory and practice, degree of experience of real-life situations, degree of student emotional involvement, degree of student (self-)reflection",2013,Environmental education,Empirical,Effectiveness testing multiple schools,"Qualitative, Quantitative",Outdoor education,School
110,"Cooley, S.J., Burns, V.E. and Cumming, J.",The role of outdoor adventure education in facilitating groupwork in higher education," degree of nature-related experiences, degree of student collaboration /  group work",1999,University education in general,Empirical,Effectiveness evaluation of teaching method (meta-analysis/review),Meta-analysis,Outdoor education,HEI
111,"Kopnina, H. Meijers, F.
",Education for sustainable development (ESD). Exploring theoretical and practical challenges," degree of nature-related experiences, degree of student collaboration /  group work, degree of student participation / activeness",2017,Sustainability,"Literature review, Methodological",Overview of multiple approaches,Qualitative,Multiple,HEI
112,"Palmer, J., Neal, Ph.",The handbook of environmental education," degree of nature-related experiences, degree of student participation / activeness, degree of experience of real-life situations, degree of inter-/transdisciplinarity, degree of integration between theory and practice",2020,Environmental education,Theoretical,Overview of multiple approaches,NA,Multiple,Multiple
113,"Jeronen, E.; Palmberg, I.; Yli-Panula, E.",Teaching Methods in Biology Education and Sustainability Education Including Outdoor Education for Promoting Sustainability—A Literature Review.," degree of nature-related experiences, degree of student participation / activeness, degree of student collaboration /  group work",2016,Sustainability,Literature Review,Overview of multiple approaches,NA,Outdoor education,Multiple
114,"Bielefeldt, A.R.",Pedagogies to Achieve Sustainability Learning Outcomes in Civil and Environmental Engineering Students, degree of stakeholder integration,2013,Sustainability,Empirical,Effectiveness testing single school,Qualitative,"Lecture-based teaching, Active learning, Case studies, Project-based learning, Service learning",HEI
115,Boru N.,The Effects of Service Learning and Volunteerism Activities on University Students in Turkey, degree of stakeholder integration,2017,University education in general,Empirical,Effectiveness testing multiple courses,Qualitative,Service learning,HEI
116,"Moon, J., Orlitzky, M.",Corporate social responsibility and sustainability education: A trans-Atlantic comparison, degree of stakeholder integration,2014,"CSR, Sustainability",Empirical,Analysis of (inter)national practices,Quantitative,Multiple,HEI
117,"Huda, M., Mulyadi, D., Hananto, A. L., Nor Muhamad, N. H., Mat Teh, K. S., & Don, A. G.",Empowering corporate social responsibility (CSR): insights from service learning," degree of stakeholder integration, degree of experience of real-life situations",2017,CSR,Literature Review,Framework proposal,NA,Service learning,HEI
118,"Shor, R., Cattaneo, L., Calton, J.","Pathways of Transformational Service Learning: Exploring the Relationships Between Context, Disorienting Dilemmas, and Student Response"," degree of stakeholder integration, degree of experience of real-life situations, degree of integration between theory and practice, degree of student (self-)reflection",2015,University education in general,Empirical,Effectiveness testing single course,Qualitative,Service learning,HEI
119,"WEBER, J., GLYPTIS, S.M.",MEASURING THE IMPACT OF A BUSINESS ETHICS COURSE AND COMMUNITY SERVICE EXPERIENCE ON STUDENTS’ VALUES AND OPINIONS," degree of stakeholder integration, degree of experience of real-life situations, degree of student (self-)reflection",2010,Ethics/Business Ethics,Empirical,Effectiveness testing single course,Quantitative,Service learning,HEI
120,"Frisk Redman, Erin & Larson, Kelli",Educating for Sustainability: Competencies & Practices for Transformative Action," degree of stakeholder integration, degree of integration between theory and practice, degree of student collaboration /  group work",2019,Sustainability,Theoretical,Theoretical argument for approach effectiveness (general),NA,"Place-based learning,Problem-based learning,Collaborative/peer learning,Role-play,Experiential education,Transformative learning,Project-based learning",Unspecified
121,"Theis, F., Klein, S.","CSR-Bildung: Corporate Social Responsibility als Bildungsaufgabe in Schule, Universität und Weiterbildung"," degree of stakeholder integration, degree of inter-/transdisciplinarity, degree of integration between theory and practice, degree of experience of real-life situations, degree of student (self-)reflection",2020,CSR,Theoretical,Overview of multiple approaches,NA,Multiple,Multiple
122,"Kemper, J.A., Ballantine, P.W., Hall, C.M.",Combining the 'why' and 'how' of teaching sustainability: the case of the business school academics," degree of stakeholder integration, degree of student (self-)reflection, degree of experience of real-life situations",2008,Sustainability,Empirical,Analysis of process of integrating ESD into education (multiple schools),Qualitative,"Transformative learning, Deliberative approach, Service learning",HEI
123,"Icihnose, T.",The Effectiveness of the Methods and Approaches of ESD for 2030 Sustainable Development Goals; From Analysis of the Questionnaire Survey to the School Teachers," degree of stakeholder integration, degree of student (self-)reflection, degree of student participation / activeness, degree of student collaboration /  group work, degree of inter-/transdisciplinarity",2000,Sustainability,Empirical,Effectiveness testing multiple schools,Quantitative,Multiple,School
124,"Kioupi, V., Voulvoulis, N.",Education for Sustainable Development: A Systemic Framework for Connecting the SDGs to Educational Outcomes," degree of stakeholder integration, degree of student emotional involvement, degree of student (self-)reflection",2019,Sustainability,Theoretical,Framework proposal,NA,Multiple,Multiple
125,"Koehn, P.H., Uitto, J.I.",Evaluating sustainability education: lessons from international development experience," degree of stakeholder integration, degree of student participation / activeness, degree of inter-/transdisciplinarity",2019,Sustainability,Theoretical,Framework proposal,NA,Multiple,HEI
126,"Bagdasarov, Z., Harkrider, L.N., Johnson, J.F., MacDougall, A.E., Devenport, L.D., Connelly, Sh., Mumford, M.D., Peacock, J.","An Investigation of Case-Based Instructional Strategies on Learning, Retention, and Ethical Decision-Making", degree of student (self-)reflection,2010,Ethics/Business Ethics,Empirical,Effectiveness testing single method/tool,Quantitative,Case studies,HEI
127,"Blasco, Maribel",Aligning the Hidden Curriculum of Management Education With PRME: An InquiryBased Framework, degree of student (self-)reflection,2019,"CSR, Ethics/Business Ethics",Theoretical,Framework proposal,NA,Transformative learning,HEI
128,"Felgendreher, S., & Löfgren, Å.",Higher education for sustainability: can education affect moral perceptions?, degree of student (self-)reflection,2011,Sustainability,Empirical,Effectiveness testing single course,Quantitative,Collaborative/peer learning,HEI
129,"Fougère, M., Solitander, N., & Young, S.",Exploring and Exposing Values in Management Education: Problematizing Final Vocabularies in Order to Enhance Moral Imagination, degree of student (self-)reflection,2011,Ethics/Business Ethics,Empirical,Analysis of process of integrating ESD into education (multiple schools),Qualitative,Multiple,HEI
130,"Giangrande, N., White, R. M., East, M., Jackson, R., Clarke, T., Saloff Coste, M., & Penha-Lopes, G.",A Competency Framework to Assess and Activate Education for Sustainable Development: Addressing the UN Sustainable Development Goals 4.7 Challenge., degree of student (self-)reflection,2019,Environmental education,Theoretical,Framework proposal,NA,Unspecified in the paper,Unspecified
131,"Hahn, R. and Reimsbach, D.",Are we on track with sustainability literacy? A viewpoint on the influence of sustainability and accounting education on future managers' processing of sustainability information, degree of student (self-)reflection,2015,Sustainability,"Empirical, Theoretical",Analysis of process of integrating ESD into education (countries/regions),"Qualitative, Quantitative","Lecture-based teaching, Case studies",HEI
132,"May, D. R.; 
Luth, M. T.; 
Schwoerer, C. E.","The Influence of Business Ethics Education on Moral Efficacy, Moral Meaningfulness and Moral Courage: A Quasi-experimental Study", degree of student (self-)reflection,2009,Sustainability,Empirical,Effectiveness testing single course,Quantitative,deliberate psychological education,HEI
133,"Schmidt, C.D., Davidson, K.M., Adkins, Ch.",Applying What Works: A Case for Deliberate Psychological Education in Undergraduate Business Ethics, degree of student (self-)reflection,2021,Ethics/Business Ethics,"Theoretical, Methodological",Teaching method proposal,NA,Multiple,HEI
134,"Shephard, K.",Higher education for sustainability: seeking affective learning outcomes, degree of student (self-)reflection,2018,Ethics/Business Ethics,"Literature Review, Theoretical",Overview of multiple approaches,NA,"Lecture-based teaching, Case studies, Discussion-based teaching, Art-based learning, Active learning",HEI
135,"Taylor, A.",Ethics training for accountants: does it add up?, degree of student (self-)reflection,2010,Sustainability,Empirical,Effectiveness testing single course,Quantitative,Collaborative/peer learning,HEI
136,"Vidal, N., Smith, R., & Spetic, W.",Designing and Teaching Business & Society Courses From a Threshold Concept Approach, degree of student (self-)reflection,2013,Ethics/Business Ethics,Empirical,Effectiveness testing single course,"Qualitative, Quantitative",Unspecified in the paper,HEI
137,"Woodworth, B.L., Steen-Adams, M.M., Mittal, P.",Role of an environmental studies course on the formation of environmental worldviews: a case study of a core curriculum requirement using the NEP Scale, degree of student (self-)reflection,2010,CSR,Empirical,Effectiveness testing single course,Quantitative,Multiple,HEI
138,"Piasentin, F. B., & Roberts, L.","What elements in a sustainability course contribute to paradigm change and action competence? A study at Lincoln University, New Zealand"," degree of student (self-)reflection, degree of experience of real-life situations",2012,Sustainability,Empirical,Effectiveness testing single course,"Qualitative, Quantitative","Lecture-based teaching, Collaborative/peer learning, Discussion-based teaching, Outdoor education",HEI
139,"Sidiropoulos, E.,",Education for sustainability in business education programs: a question of value," degree of student (self-)reflection, degree of inter-/transdisciplinarity, degree of student participation / activeness",2012,Sustainability,Empirical,Effectiveness testing multiple courses,Qualitative,"Reflective Pedagogies, Case studies",HEI
140,"Kostoulas-Makrakis, N.",DEVELOPING AND APPLYING A CRITICAL AND TRANSFORMATIVE MODEL TO ADDRESS EDUCATION FOR SUSTAINABLE DEVELOPMENT IN TEACHER EDUCATION," degree of student (self-)reflection, degree of student emotional involvement",2014,Sustainability,Empirical,Analysis of process of integrating ESD into education (single course),Qualitative,Reflective Pedagogies,HEI
141,"Singer-Brodowski, M.",Students’ Competency Development in the Context of Self-organised and Project-oriented Sustainability Seminars: Research at the Interface between Self-description and Real-life Action," degree of student (self-)reflection, degree of student emotional involvement, degree of experience of real-life situations",2012,Sustainability,Empirical,Analytic description single course,Qualitative,"Self-directed learning, Problem-based learning",HEI
142,"Imperial, M., Perry, J., Katula, M.",Incorporating Service Learning into Public Affairs Programs: Lessons from the Literature," degree of student (self-)reflection, degree of student participation / activeness, degree of experience of real-life situations",2017,University education in general,Literature Review,Overview of a single approach,NA,Service learning,HEI
143,"Ayers, J., Bryant, J., & Missimer, M.",The Use of Reflective Pedagogies in Sustainability Leadership Education—A Case Study," degree of student (self-)reflection, degree of student participation / activeness, degree of student collaboration /  group work",2020,Sustainability,Empirical,Effectiveness testing single method/tool,"Qualitative, Quantitative",Reflective Pedagogies,HEI
144,"Dellaportas, S.",Making a Difference with a Discrete Course on Accounting Ethics, degree of student collaboration /  group work,2010,Ethics/Business Ethics,Empirical,Effectiveness testing single course,Quantitative,"Lecture-based teaching, Discussion-based teaching, Case studies",HEI
145,"Dingli, S., Khalfey, S. & Leston-bandeira, C.",The Effectiveness of Incentive-Driven Role-Play, degree of student collaboration /  group work,2000,University education in general,Empirical,Teaching method proposal,Qualitative,Role-play,HEI
146,"Jones, D. A.",A Novel Approach to Business Ethics Training: Improving Moral Reasoning in Just a Few Weeks, degree of student collaboration /  group work,2011,Ethics/Business Ethics,Empirical,Effectiveness testing single course,Quantitative,Case studies,HEI
147,"Lenglet, F., Fadeeva, Z., Mochizuki, Y.",ESD promises and challenges: increasing its relevance, degree of student collaboration /  group work,1990,Ethics/Business Ethics,Editorial,Analysis of process of integrating ESD into education (countries/regions),NA,Discussion-based teaching,Multiple
148,"Mayhew, B.W., Murphy, P.R.",The Impact of Ethics Education on Reporting Behavior, degree of student collaboration /  group work,2011,Sustainability,Empirical,Effectiveness testing single course,Quantitative,Discussion-based teaching,HEI
149,"Richards, C. H., & Alder, G. S.",The Effects of Unstructured Group Discussion on Ethical Judgment, degree of student collaboration /  group work,2012,Ethics/Business Ethics,Empirical,Effectiveness testing single method/tool,Quantitative,Multiple,HEI
150,"Wiek, A., Withycombe, L., Redman, C., & Mills, S. B.",Moving Forward on Competence in Sustainability Research and Problem Solving," degree of student collaboration /  group work, degree of experience of real-life situations",2019,Sustainability,Theoretical,Analysis of process of integrating ESD into education (countries/regions),NA,Case studies,Unspecified
151,"Wu, Yenchun & Shen, Ju-Peng & Kuo, Tsuang",An overview of management education for sustainability in Asia," degree of student collaboration /  group work, degree of experience of real-life situations",2005,Sustainability,Empirical,Analytic description/comparison multiple schools,Qualitative,Multiple,HEI
152,"Baker, Susan D. and Comer, Debra R.",“Business Ethics Everywhere”: An Experiential Exercise to Develop Students’ Ability to Identify and Respond to Ethical Issues in Business," degree of student collaboration /  group work, degree of experience of real-life situations, degree of integration between theory and practice",2018,Ethics/Business Ethics,"Methodological, Empirical",Teaching method proposal,"Qualitative, Quantitative",Experiential education,HEI
153,"Wu, Y.-C. J., Huang, S., Kuo, L., & Wu, W.-H.",Management Education for Sustainability: A Web-Based Content Analysis," degree of student collaboration /  group work, degree of experience of real-life situations, degree of stakeholder integration",2005,Sustainability,Empirical,Analytic description/comparison multiple schools,"Qualitative, Quantitative","Case studies,Discussion-based teaching",HEI
154,"Wiek, A., Bernstein, M., Foley, R., Cohen, M., Forrest, N., Kuzdas, C., Kay, B., & Withycombe Keeler, L.",Operationalising competencies in higher education for sustainable development," degree of student collaboration /  group work, degree of experience of real-life situations, degree of stakeholder integration, degree of integration between theory and practice",2015,Sustainability,"Empirical, Theoretical",Review of sustainability competencies and/or their evaluations (general),Qualitative,Problem-based learning,HEI
155,"Brundiers, K., Wiek, A.",Do We Teach What We Preach? An International Comparison of Problem- and Project-Based Learning Courses in Sustainability," degree of student collaboration /  group work, degree of experience of real-life situations, degree of stakeholder integration, degree of student participation / activeness",2016,Sustainability,"Empirical, Theoretical",Analysis of process of integrating ESD into education (multiple schools),Qualitative,"Problem-based learning, Project-based learning",HEI
156,"Weber, J.A.",Business Ethics Training: Insights from Learning Theory," degree of student collaboration /  group work, degree of experience of real-life situations, degree of stakeholder integration, degree of student participation / activeness",2021,Ethics/Business Ethics,"Theoretical, Methodological",Overview of multiple approaches,NA,Multiple,Training
157,"Rodríguez Aboytes, J.G., Barth, M",Transformative learning in the field of sustainability: a systematic literature review (1999-2019)," degree of student collaboration /  group work, degree of experience of real-life situations, degree of student participation / activeness, degree of student emotional involvement, degree of student (self-)reflection",2016,Sustainability,Literature Review,Overview of a single approach,NA,Transformative learning,Multiple
158,"Schuler, S., Fanta, D., Rosenkraenzer F., Riess, W.",Systems thinking within the scope of education for sustainable development (ESD) – a heuristic competence model as a basis for (science) teacher education," degree of student collaboration /  group work, degree of inter-/transdisciplinarity",2015,Sustainability,Empirical,Effectiveness testing multiple courses,Quantitative,"Problem-based learning, System models",HEI
159,Kirschner P.,Using integrated electronic environments for collaborative teaching/learning.," degree of student collaboration /  group work, degree of inter-/transdisciplinarity, degree of experience of real-life situations",2017,University education in general,"Literature Review, Theoretical",Framework proposal,NA,Collaborative/peer learning,HEI
160,"Heiskanen, E., Thidell, A. Rodhe, H.",Educating sustainability change agents: the importance of practical skills and experience," degree of student collaboration /  group work, degree of inter-/transdisciplinarity, degree of experience of real-life situations, degree of stakeholder integration, degree of student (self-)reflection",2008,Sustainability,Empirical,Effectiveness testing single course,"Qualitative, Quantitative",Service learning,HEI
161,"Moore, J.",Is Higher Education Ready for Transformative Learning? A Question Explored in the Study of Sustainability," degree of student collaboration /  group work, degree of inter-/transdisciplinarity, degree of student (self-)reflection, degree of student emotional involvement",2020,Sustainability,Theoretical,Framework proposal,NA,Transformative learning,HEI
162,"Halberstadt, J., Schank, C., Euler, M., & Harms, R.",Learning Sustainability Entrepreneurship by Doing: Providing a Lecturer-Oriented Service Learning Framework," degree of student collaboration /  group work, degree of inter-/transdisciplinarity, degree of student participation / activeness, degree of experience of real-life situations",2013,Sustainability,Empirical,Effectiveness evaluation of teaching method,Qualitative,Service learning,HEI
163,"Pavlova, M.",Teaching and learning for sustainable development: ESD research in technology education," degree of student collaboration /  group work, degree of student (self-)reflection",2017,Sustainability,"Literature Review, Theoretical",Framework proposal,NA,Transformative learning,Multiple
164,"Stubbs, W., & Cocklin, C.",Teaching sustainability to business students: Shifting mindsets," degree of student collaboration /  group work, degree of student (self-)reflection, degree of stakeholder integration",2017,Sustainability,"Literature Review, Theoretical",Framework proposal,NA,"Case studies,Team-teaching",HEI
165,"Topping, K. J.",Trends in peer-learning," degree of student collaboration /  group work, degree of student emotional involvement",2016,University education in general,Literature Review,Effectiveness evaluation of teaching method (meta-analysis/review),NA,Collaborative/peer learning,Multiple
166,"Remington-Doucette, Sonya & Hiller, Kim & Armstrong, Cosette & Musgrove, Sheryl",Assessing sustainability education in a transdisciplinary undergraduate course focused on real-world problem solving A case for disciplinary grounding," degree of student collaboration /  group work, degree of student emotional involvement, degree of experience of real-life situations, degree of stakeholder integration, degree of integration between theory and practice",2004,Sustainability,Empirical,Effectiveness testing single course,Quantitative,Problem-based learning,HEI
167,"Brandt, J.-O., Barth, M., Merritt, E., & Hale, A.",A matter of connection: The 4 Cs of learning in pre-service teacher education for sustainability," degree of student collaboration /  group work, degree of student emotional involvement, degree of integration between theory and practice, degree of student participation / activeness",1998,Sustainability,Empirical,Effectiveness testing single course,"Qualitative, Quantitative",Flipped classroom,HEI
168,"Papenfuss, J., Merritt, E., Manuel-Navarrete, D., Cloutier, S., Eckard, B.",Interacting Pedagogies: A Review and Framework for Sustainability Education," degree of student collaboration /  group work, degree of student emotional involvement, degree of student (self-)reflection",2019,Sustainability,Theoretical,Framework proposal,NA,"Lecture-based teaching, Transformative learning, Instrumental pedagogy, Emancipatory pedagogy",HEI
169,"Medeiros, K.E., Watts, L.L., Mulhearn, T.J. et al.","What is Working, What is Not, and What We Need to Know: a Meta-Analytic Review of Business Ethics Instruction"," degree of student collaboration /  group work, degree of student emotional involvement, degree of student (self-)reflection, degree of experience of real-life situations, degree of integration between theory and practice",2002,Ethics/Business Ethics,Empirical,Effectiveness evaluation of teaching method (meta-analysis/review),Meta-analysis,"Problem-based learning,Deliberative approach,Lecture-based teaching,Case studies,Collaborative/peer learning",Multiple
170,"Cañabate, D., Garcia-Romeu, M. L., Menció, A., Nogué, L., Planas, M., & Solé-Pla, J.",Cross-Disciplinary Analysis of Cooperative Learning Dimensions Based on Higher Education Students’ Perceptions," degree of student collaboration /  group work, degree of student participation / activeness",2010,University education in general,Empirical,Effectiveness testing single method/tool,Quantitative,Collaborative/peer learning,HEI
171,"Smart, J.C., Paulsen, M.B.",Higher Education: Handbook of Theory and Research. Volume XXVI," degree of student collaboration /  group work, degree of student participation / activeness",2020,University education in general,Theoretical,Overview of multiple approaches,NA,Multiple,HEI
172,"Wals, A.E.J.",Learning Our Way to Sustainability," degree of student collaboration /  group work, degree of student participation / activeness",2018,Sustainability,"Literature Review, Theoretical",Framework proposal,NA,"Collaborative/peer learning, Flipped classroom",Multiple
173,"Zhou, X., Chen, L.-H., & Chen, C.-L.",Collaborative Learning by Teaching: A Pedagogy between Learner-Centered and Learner-Driven," degree of student collaboration /  group work, degree of student participation / activeness",2018,Sustainability,"Methodological, Empirical",Teaching method proposal,"Qualitative, Quantitative","Social learning, Transformative learning",HEI
174,"Allen W.R., Paul Bacdayan, Kellyann Berube Kowalski and Mathew H. Roy",Examining the impact of ethics training on business student values, degree of student emotional involvement,2005,Ethics/Business Ethics,Empirical,Effectiveness testing multiple schools,Quantitative,Unspecified in the paper,HEI
175,"Comer, D. R., & Schwartz, M.",Highlighting Moral Courage in the Business Ethics Course, degree of student emotional involvement,2018,Ethics/Business Ethics,"Methodological, Empirical",Teaching method proposal,"Qualitative, Quantitative",Art-based learning,HEI
176,"Frederick H. Gautschi, III and Thomas M. Jones",Enhancing the Ability of Business Students to Recognize Ethical Issues: An Empirical Assessment of the Effectiveness of a Course in Business Ethics, degree of student emotional involvement,2011,Ethics/Business Ethics,Empirical,Effectiveness testing single course,Quantitative,"Discussion-based teaching, Case studies",HEI
177,"Gatti, L., Ulrich, M., Seele, P.",Education for sustainable development through business simulation games: An exploratory study of sustainability gamification and its effects on students' learning outcomes, degree of student emotional involvement,2007,Sustainability,Empirical,Effectiveness testing multiple courses,"Qualitative, Quantitative",Gaming & Simulations,HEI
178,"Lyttle, J.",The Effectiveness of Humor in Persuasion: The Case of Business Ethics Training, degree of student emotional involvement,2009,Ethics/Business Ethics,Empirical,Effectiveness testing single method/tool,Quantitative,Case studies,HEI
179,"Mintz, K., Tal, T.",Sustainability in higher education courses: Multiple learning outcomes, degree of student emotional involvement,2012,Sustainability,Empirical,Effectiveness testing multiple courses,Qualitative,Multiple,HEI
180,"Moran, S., Garcia, R.",HOW DOES US COLLEGE STUDENTS’ SENSE OF LIFE PURPOSE RELATE TO THEIR EMOTIONAL EXPECTATIONS OF BEING A VOLUNTEER IN THE COMMUNITY AS PART OF A SERVICE-LEARNING COURSE?, degree of student emotional involvement,2014,University education in general,Empirical,Analysis of student-related factors (multiple schools),Quantitative,Service learning,HEI
181,Ojala M.,Emotional Awareness: On the Importance of Including Emotional Aspects in Education for Sustainable Development (ESD), degree of student emotional involvement,2017,University education in general,"Literature Review, Theoretical",Theoretical argument for approach effectiveness (general),NA,Service learning,School
182,"Opazo, H., Aramburuzabala, P., Ramírez, Ch.",Emotions related to Spanish student-teachers’ changes in life purposes following service-learning participation, degree of student emotional involvement,2015,Sustainability,Empirical,Analysis of student-related factors (single method),Quantitative,Service learning,HEI
183,"Priesmeyer, H.R., Mudge, S.D., Ward, S.G.",Emotional Responses to Service Learning: An Exploratory Study, degree of student emotional involvement,2015,University education in general,Empirical,Analytic description single course,Quantitative,Art-based learning,HEI
184,"Springborg, C.","Art-based methods in management education from the symbolic, connectionist, and embodied perspective. Art of Management Conference: York, UK 4-7 September 2012", degree of student emotional involvement,2018,University education in general,"Literature Review, Theoretical",Framework proposal,NA,Deliberative approach,HEI
185,"Bagdasarov, Zhanna; Chase E. Thiel; James F. Johnson; Shane Connelly; Lauren N. Harkrider; Lynn D. Devenport; Michael D. Mumford",Case-Based Ethics Instruction: The Influence of Contextual and Individual Factors in Case Content on Ethical Decision-Making," degree of student emotional involvement, degree of experience of real-life situations",2005,Ethics/Business Ethics,Empirical,Effectiveness testing single course,Quantitative,Case studies,HEI
186,"Maxwell, B.",Professional Ethics Education: Studies in Compassionate Empathy," degree of student emotional involvement, degree of integration between theory and practice",2020,University education in general,Theoretical,Overview of multiple approaches,NA,Role-play,Multiple
187,"Rao, D. and Stupans, I.",Exploring the potential of role play in higher education: development of a typology and teacher guidelines," degree of student emotional involvement, degree of integration between theory and practice",2004,Ethics/Business Ethics,Empirical,Effectiveness evaluation of teaching method (meta-analysis/review),Qualitative,Multiple,HEI
188,"Lozano, R., Lozano, F. J., Mulder, K., Huisingh, D., & Waas, T.",Advancing Higher Education for Sustainable Development: international insights and critical reflections," degree of student emotional involvement, degree of inter-/transdisciplinarity, degree of stakeholder integration, degree of integration between theory and practice",2016,Sustainability,Literature Review,Analysis of (inter)national practices,NA,Multiple,HEI
189,"Matteucci, X., Aubke, F.",Experience care: efficacy of servicelearning in fostering perspective transformation in tourism education," degree of student emotional involvement, degree of stakeholder integration",2014,University education in general,Empirical,Effectiveness testing single course,Qualitative,Service learning,HEI
190,Chin-Ping Liou,Launch out into the deep: a psychotherapist’s view of an international service-learning experience," degree of student emotional involvement, degree of student (self-)reflection",2013,University education in general,Empirical,Analytic description single method,Qualitative,Service learning,HEI
191,"Hermes, J., & Rimanoczy, I.",Deep learning for a sustainability mindset," degree of student emotional involvement, degree of student (self-)reflection",2018,Sustainability,Methodological,Teaching method proposal,NA,Self-directed learning,HEI
192,"Larsen, M.A.",International Service-Learning: Rethinking the Role of Emotions," degree of student emotional involvement, degree of student (self-)reflection",2014,University education in general,Empirical,Analytic description single method,Qualitative,Service learning,HEI
193,"Mason, A.M.","Sulitest®: A Mixed-Method, Pilot Study of Assessment Impacts on Undergraduate Sustainability-related Learning and Motivation"," degree of student emotional involvement, degree of student (self-)reflection",2009,Sustainability,Empirical,Effectiveness testing single method/tool,"Qualitative, Quantitative",Unspecified in the paper,HEI
194,"Molderez, I. , & Ceulemans, K","The power of art to foster systems thinking, one of the key competencies of education for sustainable development"," degree of student emotional involvement, degree of student (self-)reflection",2009,CSR,Empirical,Effectiveness testing single method/tool,"Qualitative, Quantitative",Art-based learning,HEI
195,"Wesely, J.K.",Skimming the Surface or Digging Deeper: The Role of Emotion in Students’ Reflective Journals During an Experiential Criminal Justice Course," degree of student emotional involvement, degree of student (self-)reflection",2015,University education in general,Empirical,Analysis of student-related factors (single course),Qualitative,Experiential education,HEI
196,"Jokikokko, K.",Reframing teachers’ intercultural learning as an emotional process," degree of student emotional involvement, degree of student (self-)reflection, degree of integration between theory and practice",2019,University education in general,Theoretical,Framework proposal,NA,Transformative learning,HEI
197,"Jokikokko, K., Uitto, M.",The significance of emotions in Finnish teachers’ stories about their intercultural learning," degree of student emotional involvement, degree of student (self-)reflection, degree of integration between theory and practice",2014,University education in general,Empirical,Analysis of process of integrating ESD into education (single school),Qualitative,Transformative learning,HEI
198,"Sipos, Y., Battisti, B., Grimm, K.","Achieving transformative sustainability learning: engaging head, hands and heart"," degree of student emotional involvement, degree of student (self-)reflection, degree of integration between theory and practice, degree of nature-related experiences, degree of stakeholder integration",2019,Sustainability,Theoretical,Framework proposal,NA,Transformative learning,HEI
199,"Everhart, R.S.",Teaching Tools to Improve the Development of Empathy in Service-Learning Students," degree of student emotional involvement, degree of student (self-)reflection, degree of student participation / activeness, degree of integration between theory and practice",2013,University education in general,Empirical,Effectiveness testing single course,Qualitative,Service learning,HEI
200,"Loughran, J.",Researching Teaching: Methodologies and Practices for Understanding Pedagogy," degree of student emotional involvement, degree of student participation / activeness",2020,University education in general,Theoretical,Overview of multiple approaches,NA,Multiple,Multiple
201,"Adib-Hajbaghery M , Aghajani M .","Traditional Lectures, Socratic Method and Student Lectures: Which One do the Students Prefer?", degree of student participation / activeness,2013,University education in general,Empirical,Effectiveness testing multiple methods/tools,Quantitative,"Lecture-based teaching, Deliberative approach, Flipped classroom",HEI
202,"Alonso-Martínez D., Beatriz Jiménez-Parra, Nuria González-Álvarez, José-Luis Godos-Díez and Laura Cabeza-García",Taking Advantage of Students’ Passion for Apps in Sustainability and CSR Teaching, degree of student participation / activeness,2005,"CSR, Sustainability",Empirical,Teaching method proposal,Quantitative,"Active learning, Lecture-based teaching",HEI
203,"Biasutti, M.",An intensive programme on education for sustainable development: the participants’ experience, degree of student participation / activeness,1994,University education in general,Empirical,Effectiveness testing single course,"Qualitative, Quantitative",Multiple,Training
204,"Bosco Susan M., Melchar David E. , Beauvais Laura L. & Desplaces David E.",Teaching business ethics: the effectiveness of common pedagogical practices in developing students’ moral judgment competence, degree of student participation / activeness,1994,Sustainability,Empirical,Effectiveness testing multiple courses,Quantitative,Project-based learning,HEI
